47	32	30	57	77	56	76	93	94	96	84	71	97	64	92	88	75	93	58	84
38	49	43	67	80	68	82	57	121	139	101	146	61	67	91	78	149	138	114	128
49	251	69	64	85	69	77	93	139	110	114	118	77	85	76	65	109	150	136	145
17	48	65	30	89	88	63	57	123	132	107	120	90	98	71	67	114	114	114	121
31	39	65	30	98	97	82	84	138	129	110	138	73	66	80	52	133	133	110	109
42	44	23	27	73	58	99	65	134	108	144	139	74	65	157	231	215	220	223	54
18	19	65	41	80	66	57	83	147	143	146	137	53	51	194	163	204	244	217	75
37	31	52	8888	51	96	68	72	134	136	133	115	90	97	205	186	208	215	203	86
43	41	50	61	93	82	84	51	80	65	81	63	71	73	201	209	182	204	159	75
38	22	55	34	63	59	78	87	97	79	61	63	77	-1	214	192	224	156	181	79
